,DOMICILIO_ACESSO_INTERNET,TEM_RADIO,TEM_DVD,NUMERO_TV_PLASMA,NUMERO_TV_TUBO,TEM_ASSINATURA_TV
197,Nao,Sim,Sim,0.0,1.0,Nao
198,Nao,Nao,Sim,1.0,0.0,Nao
199,Nao,Nao,Nao,0.0,1.0,Nao
200,Sim,Sim,Sim,0.0,2.0,Nao
201,Nao,Sim,Sim,0.0,1.0,Nao
202,Nao,Sim,Nao,0.0,1.0,Nao
203,Nao,Sim,Sim,1.0,0.0,Nao
205,Sim,Sim,Nao,1.0,0.0,Nao
206,Nao,Nao,Sim,0.0,1.0,Nao
207,Sim,Sim,Sim,0.0,1.0,Nao
213,Sim,Sim,Nao,0.0,1.0,Nao
214,Nao,Sim,Sim,0.0,2.0,Nao
215,Nao,Sim,Sim,0.0,1.0,Nao
216,Nao,Nao,Sim,0.0,1.0,Nao
217,Nao,Nao,Sim,0.0,1.0,Nao
218,Sim,Nao,Nao,0.0,2.0,Nao
219,Nao,Sim,Sim,1.0,0.0,Nao
220,Nao,Nao,Sim,0.0,1.0,Nao
221,Nao,Sim,Nao,0.0,1.0,Nao
223,Nao,Nao,Nao,0.0,1.0,Nao
224,Nao,Nao,Sim,0.0,1.0,Nao
225,Sim,Nao,Nao,0.0,1.0,Nao
227,Nao,Sim,Nao,0.0,1.0,Nao
228,Sim,Sim,Sim,3.0,0.0,Sim
229,Sim,Sim,Sim,1.0,0.0,Nao
230,Sim,Sim,Nao,0.0,1.0,Nao
231,Sim,Sim,Sim,1.0,1.0,Nao
232,Sim,Sim,Sim,1.0,1.0,Nao
233,Nao,Sim,Sim,0.0,2.0,Nao
234,Nao,Nao,Nao,0.0,1.0,Nao
235,Sim,Nao,Nao,1.0,0.0,Sim
237,Nao,Nao,Sim,1.0,0.0,Nao
239,Nao,Nao,Nao,0.0,1.0,Nao
240,Sim,Sim,Sim,1.0,1.0,Nao
241,Nao,Sim,Nao,1.0,1.0,Nao
242,Sim,Nao,Sim,0.0,1.0,Nao
243,Sim,Sim,Sim,1.0,0.0,Nao
244,Nao,Nao,Nao,0.0,1.0,Sim
245,Nao,Nao,Nao,0.0,1.0,Nao
246,Sim,Sim,Sim,2.0,2.0,Sim
247,Sim,Sim,Sim,1.0,0.0,Sim
248,Nao,Sim,Sim,0.0,1.0,Nao
249,Nao,Nao,Sim,0.0,1.0,Nao
250,Sim,Sim,Sim,1.0,1.0,Nao
252,Sim,Sim,Sim,0.0,1.0,Nao
253,Sim,Sim,Nao,0.0,1.0,Nao
254,Nao,Sim,Sim,0.0,1.0,Nao
255,Nao,Sim,Sim,0.0,1.0,Nao
256,Nao,Sim,Sim,1.0,0.0,Nao
257,Nao,Sim,Sim,1.0,0.0,Nao
258,Sim,Sim,Sim,1.0,1.0,Nao
259,Sim,Sim,Sim,1.0,1.0,Nao
260,Nao,Sim,Nao,0.0,1.0,Nao
262,Sim,Sim,Sim,1.0,1.0,Nao
263,Nao,Nao,Sim,0.0,1.0,Nao
264,Nao,Sim,Sim,0.0,1.0,Nao
265,Nao,Sim,Sim,0.0,1.0,Nao
266,Nao,Sim,Nao,0.0,1.0,Nao
267,Nao,Sim,Sim,0.0,1.0,Nao
268,Nao,Sim,Sim,0.0,1.0,Nao
269,Nao,Sim,Nao,0.0,1.0,Nao
270,Nao,Nao,Sim,0.0,3.0,Nao
271,Sim,Nao,Sim,1.0,0.0,Nao
272,Nao,Sim,Nao,0.0,1.0,Nao
273,Nao,Sim,Nao,0.0,1.0,Nao
274,Sim,Sim,Sim,1.0,1.0,Nao
275,Sim,Sim,Sim,0.0,1.0,Nao
276,Nao,Nao,Sim,0.0,1.0,Nao
277,Sim,Nao,Sim,1.0,0.0,Nao
278,Sim,Sim,Sim,1.0,0.0,Nao
279,Sim,Sim,Sim,1.0,0.0,Nao
280,Nao,Nao,Sim,0.0,1.0,Nao
281,Sim,Sim,Sim,1.0,1.0,Sim
282,Nao,Sim,Sim,1.0,0.0,Nao
283,Sim,Sim,Sim,0.0,2.0,Nao
284,Nao,Sim,Sim,0.0,1.0,Nao
286,Nao,Nao,Sim,0.0,1.0,Nao
287,Sim,Sim,Sim,1.0,0.0,Sim
288,Sim,Nao,Sim,0.0,1.0,Nao
289,Nao,Nao,Sim,0.0,1.0,Nao
291,Nao,Nao,Sim,0.0,1.0,Nao
293,Nao,Nao,Sim,0.0,1.0,Nao
294,Sim,Nao,Nao,1.0,0.0,Nao
295,Nao,Sim,Nao,0.0,1.0,Nao
296,Sim,Sim,Sim,1.0,0.0,Nao
297,Sim,Nao,Sim,0.0,2.0,Nao
298,Nao,Sim,Sim,1.0,0.0,Nao
301,Nao,Sim,Nao,1.0,0.0,Nao
302,Sim,Sim,Sim,0.0,1.0,Nao
303,Sim,Sim,Sim,0.0,2.0,Nao
304,Sim,Sim,Sim,0.0,1.0,Nao
306,Sim,Nao,Sim,0.0,2.0,Nao
307,Nao,Nao,Sim,0.0,1.0,Nao
308,Nao,Sim,Sim,0.0,2.0,Nao
309,Nao,Nao,Sim,0.0,1.0,Nao
310,Nao,Nao,Nao,0.0,1.0,Nao
311,Nao,Sim,Nao,0.0,1.0,Nao
312,Sim,Sim,Nao,1.0,0.0,Nao
313,Nao,Sim,Sim,0.0,1.0,Nao
314,Nao,Sim,Sim,0.0,1.0,Nao
315,Sim,Nao,Sim,2.0,2.0,Nao
316,Nao,Nao,Sim,2.0,0.0,Sim
317,Sim,Sim,Sim,0.0,1.0,Nao
319,Nao,Sim,Sim,1.0,1.0,Nao
320,Sim,Sim,Sim,1.0,0.0,Nao
321,Nao,Nao,Sim,1.0,0.0,Nao
322,Nao,Sim,Nao,0.0,1.0,Nao
323,Sim,Nao,Nao,1.0,0.0,Sim
324,Sim,Nao,Sim,1.0,0.0,Sim
325,Nao,Sim,Sim,1.0,0.0,Nao
326,Nao,Sim,Sim,0.0,1.0,Nao
328,Nao,Sim,Sim,1.0,0.0,Nao
329,Nao,Nao,Nao,0.0,1.0,Nao
330,Nao,Sim,Sim,0.0,1.0,Nao
332,Nao,Nao,Sim,0.0,1.0,Nao
333,Nao,Sim,Sim,1.0,0.0,Nao
334,Nao,Nao,Sim,0.0,2.0,Nao
336,Nao,Nao,Sim,0.0,1.0,Nao
337,Sim,Nao,Sim,0.0,1.0,Nao
338,Nao,Nao,Sim,1.0,0.0,Sim
339,Nao,Sim,Sim,0.0,2.0,Nao
340,Nao,Sim,Sim,0.0,1.0,Nao
341,Nao,Sim,Sim,0.0,1.0,Nao
342,Nao,Sim,Sim,1.0,0.0,Nao
343,Nao,Sim,Sim,0.0,1.0,Nao
345,Nao,Sim,Nao,0.0,1.0,Nao
346,Nao,Sim,Sim,0.0,1.0,Nao
347,Nao,Sim,Sim,0.0,3.0,Nao
348,Nao,Sim,Nao,1.0,0.0,Nao
349,Nao,Nao,Nao,0.0,1.0,Nao
350,Nao,Nao,Sim,0.0,2.0,Nao
351,Nao,Sim,Nao,0.0,1.0,Nao
352,Nao,Nao,Nao,0.0,1.0,Nao
354,Nao,Sim,Sim,1.0,1.0,Nao
355,Sim,Sim,Sim,0.0,1.0,Nao
356,Nao,Sim,Sim,0.0,1.0,Sim
357,Nao,Sim,Nao,0.0,1.0,Nao
358,Nao,Sim,Nao,0.0,1.0,Nao
359,Nao,Sim,Sim,0.0,1.0,Nao
361,Nao,Sim,Sim,0.0,1.0,Nao
362,Sim,Sim,Sim,0.0,1.0,Nao
363,Nao,Sim,Nao,0.0,1.0,Nao
364,Nao,Nao,Nao,1.0,0.0,Nao
365,Nao,Sim,Nao,0.0,1.0,Nao
366,Nao,Nao,Sim,1.0,0.0,Nao
367,Nao,Sim,Nao,0.0,1.0,Sim
368,Nao,Sim,Nao,1.0,0.0,Nao
370,Nao,Sim,Sim,0.0,1.0,Nao
371,Nao,Sim,Sim,0.0,1.0,Nao
372,Nao,Sim,Nao,0.0,1.0,Nao
373,Sim,Nao,Nao,1.0,0.0,Nao
374,Nao,Nao,Nao,0.0,1.0,Nao
376,Sim,Sim,Sim,1.0,1.0,Nao
378,Sim,Sim,Sim,1.0,0.0,Nao
379,Nao,Sim,Nao,0.0,1.0,Nao
381,Sim,Sim,Nao,0.0,1.0,Nao
382,Nao,Sim,Sim,2.0,1.0,Sim
383,Sim,Nao,Nao,1.0,0.0,Nao
384,Sim,Sim,Nao,2.0,0.0,Nao
385,Nao,Nao,Nao,0.0,1.0,Nao
386,Sim,Sim,Sim,1.0,2.0,Nao
387,Sim,Sim,Sim,2.0,0.0,Sim
388,Nao,Nao,Nao,0.0,1.0,Nao
389,Sim,Nao,Sim,0.0,1.0,Sim
390,Nao,Nao,Nao,1.0,0.0,Nao
391,Nao,Nao,Nao,1.0,0.0,Nao
392,Nao,Nao,Sim,0.0,1.0,Nao
393,Sim,Sim,Sim,1.0,1.0,Nao
394,Nao,Nao,Sim,0.0,1.0,Nao
396,Nao,Nao,Nao,0.0,1.0,Nao
397,Nao,Sim,Sim,0.0,1.0,Nao
398,Nao,Nao,Sim,0.0,1.0,Nao
399,Nao,Nao,Nao,0.0,1.0,Nao
400,Nao,Sim,Sim,0.0,2.0,Nao
402,Sim,Sim,Nao,1.0,0.0,Nao
403,Nao,Sim,Nao,0.0,1.0,Nao
404,Sim,Nao,Sim,0.0,1.0,Nao
405,Nao,Sim,Sim,0.0,1.0,Nao
406,Nao,Nao,Sim,0.0,1.0,Nao
407,Sim,Sim,Sim,0.0,1.0,Nao
408,Nao,Sim,Nao,0.0,1.0,Nao
409,Nao,Sim,Sim,1.0,0.0,Nao
410,Nao,Sim,Sim,0.0,1.0,Nao
411,Nao,Sim,Sim,0.0,1.0,Nao
412,Sim,Nao,Sim,1.0,1.0,Nao
413,Nao,Sim,Sim,0.0,1.0,Nao
415,Nao,Sim,Sim,0.0,1.0,Nao
416,Nao,Sim,Sim,0.0,1.0,Nao
417,Nao,Sim,Nao,0.0,1.0,Nao
418,Nao,Sim,Nao,0.0,1.0,Nao
419,Nao,Sim,Nao,0.0,1.0,Nao
421,Nao,Nao,Sim,0.0,1.0,Nao
422,Nao,Sim,Nao,0.0,1.0,Nao
424,Nao,Sim,Sim,1.0,0.0,Nao
425,Nao,Sim,Sim,0.0,1.0,Nao
426,Sim,Sim,Sim,0.0,2.0,Nao
427,Nao,Sim,Nao,0.0,3.0,Nao
429,Nao,Sim,Nao,0.0,2.0,Nao
430,Sim,Sim,Sim,0.0,1.0,Nao
431,Nao,Sim,Nao,0.0,1.0,Nao
432,Sim,Nao,Sim,0.0,1.0,Nao
433,Sim,Sim,Sim,2.0,1.0,Nao
435,Nao,Sim,Sim,0.0,1.0,Nao
436,Nao,Sim,Sim,0.0,1.0,Nao
437,Nao,Nao,Nao,0.0,1.0,Nao
438,Sim,Sim,Sim,0.0,1.0,Nao
440,Sim,Nao,Sim,0.0,1.0,Nao
441,Nao,Sim,Nao,0.0,1.0,Nao
442,Nao,Sim,Nao,0.0,1.0,Nao
445,Nao,Sim,Sim,0.0,1.0,Nao
446,Nao,Sim,Nao,0.0,1.0,Nao
447,Nao,Sim,Nao,1.0,0.0,Nao
448,Nao,Sim,Nao,1.0,0.0,Nao
449,Nao,Sim,Nao,0.0,1.0,Nao
451,Nao,Sim,Nao,0.0,1.0,Nao
452,Nao,Sim,Sim,0.0,2.0,Nao
453,Nao,Sim,Nao,0.0,1.0,Nao
454,Nao,Sim,Nao,1.0,0.0,Nao
455,Sim,Sim,Sim,0.0,1.0,Nao
456,Nao,Sim,Nao,0.0,1.0,Nao
457,Nao,Sim,Sim,0.0,1.0,Nao
459,Sim,Nao,Sim,1.0,1.0,Nao
460,Nao,Nao,Nao,0.0,1.0,Nao
463,Nao,Nao,Nao,0.0,1.0,Nao
464,Nao,Nao,Nao,0.0,1.0,Nao
465,Nao,Sim,Sim,0.0,1.0,Nao
466,Sim,Sim,Sim,1.0,0.0,Nao
467,Nao,Sim,Sim,1.0,0.0,Nao
468,Nao,Sim,Sim,0.0,1.0,Nao
469,Nao,Nao,Nao,1.0,0.0,Nao
470,Nao,Sim,Sim,1.0,0.0,Nao
471,Nao,Sim,Nao,0.0,1.0,Nao
473,Nao,Nao,Nao,1.0,0.0,Nao
474,Sim,Sim,Sim,1.0,0.0,Nao
475,Sim,Sim,Sim,0.0,1.0,Nao
477,Nao,Sim,Sim,0.0,1.0,Nao
479,Nao,Sim,Sim,0.0,2.0,Nao
480,Sim,Sim,Sim,0.0,1.0,Nao
481,Nao,Sim,Sim,0.0,2.0,Nao
482,Nao,Sim,Sim,0.0,1.0,Nao
483,Nao,Sim,Nao,0.0,1.0,Nao
484,Nao,Sim,Sim,0.0,1.0,Nao
485,Nao,Sim,Sim,0.0,1.0,Nao
486,Nao,Sim,Sim,0.0,1.0,Nao
487,Nao,Sim,Sim,0.0,1.0,Nao
488,Nao,Sim,Sim,0.0,1.0,Nao
489,Nao,Sim,Sim,0.0,1.0,Nao
490,Nao,Sim,Nao,0.0,1.0,Nao
491,Nao,Sim,Nao,0.0,1.0,Nao
492,Nao,Sim,Nao,0.0,1.0,Nao
493,Nao,Sim,Sim,0.0,1.0,Nao
494,Sim,Sim,Sim,0.0,1.0,Nao
495,Nao,Sim,Sim,0.0,1.0,Nao
497,Nao,Nao,Sim,0.0,1.0,Nao
498,Nao,Sim,Sim,0.0,1.0,Nao
499,Nao,Sim,Sim,0.0,1.0,Nao
502,Nao,Sim,Sim,0.0,1.0,Nao
506,Sim,Sim,Sim,0.0,1.0,Nao
507,Nao,Sim,Nao,0.0,1.0,Nao
508,Nao,Sim,Sim,1.0,1.0,Nao
510,Nao,Nao,Nao,0.0,2.0,Nao
511,Nao,Sim,Sim,0.0,1.0,Nao
512,Nao,Sim,Sim,0.0,1.0,Nao
513,Nao,Sim,Sim,2.0,0.0,Nao
516,Nao,Sim,Sim,0.0,2.0,Nao
517,Sim,Sim,Sim,1.0,1.0,Sim
519,Nao,Nao,Nao,1.0,0.0,Nao
520,Nao,Nao,Sim,0.0,1.0,Nao
521,Nao,Sim,Sim,1.0,0.0,Sim
522,Nao,Sim,Nao,0.0,1.0,Nao
523,Nao,Nao,Sim,0.0,1.0,Nao
524,Nao,Nao,Sim,1.0,0.0,Nao
525,Nao,Sim,Nao,1.0,0.0,Nao
526,Nao,Sim,Sim,0.0,1.0,Nao
527,Sim,Nao,Sim,1.0,1.0,Nao
528,Nao,Sim,Sim,1.0,0.0,Nao
530,Sim,Sim,Sim,0.0,1.0,Nao
531,Nao,Sim,Sim,1.0,1.0,Nao
532,Nao,Sim,Sim,2.0,0.0,Nao
533,Nao,Sim,Sim,0.0,1.0,Nao
534,Nao,Sim,Sim,0.0,1.0,Nao
535,Sim,Sim,Sim,1.0,1.0,Nao
536,Nao,Nao,Nao,1.0,0.0,Sim
537,Nao,Sim,Sim,0.0,1.0,Nao
538,Sim,Nao,Sim,0.0,1.0,Nao
539,Nao,Sim,Sim,1.0,0.0,Nao
540,Nao,Nao,Nao,0.0,1.0,Nao
541,Nao,Nao,Sim,1.0,1.0,Nao
542,Nao,Sim,Sim,0.0,1.0,Nao
543,Nao,Nao,Nao,0.0,1.0,Nao
545,Nao,Sim,Sim,0.0,1.0,Nao
547,Sim,Sim,Sim,1.0,1.0,Nao
548,Sim,Sim,Sim,2.0,0.0,Sim
549,Nao,Sim,Sim,2.0,0.0,Nao
551,Nao,Nao,Sim,0.0,1.0,Nao
553,Nao,Sim,Sim,1.0,0.0,Nao
554,Nao,Sim,Sim,1.0,1.0,Nao
556,Nao,Nao,Sim,0.0,1.0,Sim
557,Nao,Sim,Sim,0.0,1.0,Nao
558,Sim,Sim,Sim,2.0,0.0,Nao
561,Nao,Sim,Nao,0.0,1.0,Nao
562,Nao,Sim,Sim,0.0,1.0,Nao
563,Nao,Sim,Sim,0.0,1.0,Nao
564,Nao,Sim,Nao,0.0,2.0,Nao
565,Nao,Sim,Nao,0.0,1.0,Nao
566,Nao,Nao,Sim,0.0,1.0,Nao
567,Nao,Sim,Nao,0.0,1.0,Nao
569,Nao,Sim,Nao,0.0,2.0,Nao
570,Nao,Sim,Nao,0.0,1.0,Nao
571,Nao,Nao,Nao,1.0,0.0,Nao
572,Nao,Nao,Nao,0.0,1.0,Nao
575,Nao,Nao,Nao,0.0,1.0,Nao
579,Sim,Nao,Sim,2.0,0.0,Nao
580,Nao,Nao,Sim,0.0,1.0,Nao
581,Nao,Nao,Sim,1.0,0.0,Nao
587,Nao,Sim,Sim,1.0,0.0,Nao
588,Nao,Nao,Sim,1.0,0.0,Nao
589,Sim,Nao,Sim,0.0,1.0,Nao
590,Nao,Sim,Sim,0.0,1.0,Sim
593,Nao,Sim,Sim,1.0,0.0,Nao
594,Nao,Nao,Sim,0.0,1.0,Sim
595,Nao,Sim,Nao,0.0,1.0,Nao
597,Sim,Sim,Sim,0.0,1.0,Nao
599,Nao,Sim,Sim,0.0,1.0,Nao
600,Nao,Nao,Sim,0.0,1.0,Nao
602,Nao,Sim,Sim,0.0,1.0,Nao
603,Nao,Sim,Nao,0.0,1.0,Nao
604,Nao,Sim,Sim,1.0,0.0,Nao
605,Nao,Sim,Sim,1.0,0.0,Sim
606,Nao,Sim,Sim,0.0,1.0,Nao
609,Nao,Sim,Sim,0.0,1.0,Nao
610,Nao,Nao,Sim,0.0,1.0,Nao
612,Sim,Sim,Sim,0.0,1.0,Nao
613,Sim,Nao,Sim,1.0,1.0,Nao
614,Nao,Sim,Sim,0.0,1.0,Nao
615,Sim,Sim,Nao,0.0,2.0,Nao
616,Nao,Sim,Sim,0.0,1.0,Nao
617,Nao,Sim,Sim,1.0,0.0,Nao
619,Sim,Nao,Sim,1.0,0.0,Sim
620,Nao,Sim,Sim,0.0,1.0,Nao
621,Nao,Nao,Sim,1.0,0.0,Nao
622,Nao,Nao,Sim,0.0,2.0,Nao
623,Nao,Sim,Nao,0.0,1.0,Nao
624,Nao,Sim,Nao,0.0,1.0,Nao
625,Sim,Nao,Sim,0.0,1.0,Nao
626,Nao,Nao,Sim,0.0,3.0,Sim
627,Nao,Sim,Sim,0.0,1.0,Nao
628,Nao,Sim,Nao,0.0,1.0,Nao
629,Nao,Nao,Nao,0.0,1.0,Nao
630,Nao,Sim,Sim,1.0,0.0,Nao
631,Nao,Sim,Nao,0.0,1.0,Nao
633,Nao,Nao,Nao,0.0,2.0,Nao
634,Nao,Sim,Sim,1.0,0.0,Nao
637,Nao,Nao,Nao,0.0,1.0,Nao
639,Nao,Nao,Nao,0.0,1.0,Nao
640,Nao,Sim,Sim,0.0,1.0,Nao
641,Nao,Sim,Sim,0.0,1.0,Nao
642,Nao,Nao,Sim,1.0,0.0,Nao
643,Nao,Sim,Nao,1.0,0.0,Nao
644,Nao,Sim,Sim,0.0,1.0,Nao
645,Nao,Sim,Sim,0.0,1.0,Nao
646,Nao,Nao,Sim,1.0,0.0,Nao
647,Sim,Sim,Sim,2.0,0.0,Sim
648,Nao,Sim,Sim,1.0,1.0,Nao
649,Nao,Nao,Nao,1.0,0.0,Nao
650,Sim,Sim,Sim,1.0,1.0,Nao
652,Nao,Nao,Sim,0.0,1.0,Nao
653,Nao,Sim,Sim,0.0,1.0,Nao
655,Nao,Nao,Nao,0.0,1.0,Nao
656,Sim,Nao,Sim,2.0,0.0,Nao
658,Nao,Sim,Sim,0.0,1.0,Nao
661,Nao,Sim,Sim,1.0,0.0,Nao
662,Nao,Sim,Sim,1.0,0.0,Nao
663,Nao,Sim,Nao,1.0,0.0,Nao
664,Nao,Nao,Nao,0.0,1.0,Nao
667,Nao,Nao,Sim,0.0,1.0,Nao
668,Nao,Sim,Sim,0.0,1.0,Sim
670,Sim,Nao,Sim,2.0,0.0,Nao
671,Nao,Sim,Sim,0.0,3.0,Sim
673,Sim,Sim,Nao,1.0,1.0,Nao
