,DOMICILIO_ACESSO_INTERNET,TEM_RADIO,TEM_DVD,NUMERO_TV_PLASMA,NUMERO_TV_TUBO,TEM_ASSINATURA_TV
160,Sim,Nao,Sim,1.0,0.0,Nao
161,Sim,Sim,Sim,1.0,0.0,Nao
162,Nao,Nao,Nao,1.0,0.0,Nao
163,Nao,Nao,Nao,1.0,0.0,Nao
164,Nao,Sim,Sim,1.0,0.0,Nao
165,Nao,Nao,Nao,0.0,1.0,Nao
166,Nao,Nao,Nao,1.0,1.0,Nao
167,Sim,Sim,Sim,0.0,1.0,Nao
169,Sim,Nao,Sim,1.0,1.0,Nao
171,Nao,Nao,Nao,0.0,1.0,Nao
173,Nao,Sim,Nao,0.0,1.0,Nao
174,Nao,Nao,Sim,0.0,1.0,Sim
175,Sim,Nao,Sim,0.0,1.0,Nao
176,Sim,Sim,Sim,2.0,0.0,Sim
177,Nao,Sim,Sim,1.0,0.0,Nao
178,Nao,Nao,Nao,1.0,0.0,Nao
179,Sim,Sim,Nao,1.0,0.0,Nao
180,Sim,Nao,Sim,0.0,1.0,Nao
181,Sim,Sim,Sim,1.0,0.0,Nao
182,Nao,Sim,Nao,0.0,1.0,Nao
183,Nao,Nao,Nao,0.0,1.0,Nao
184,Nao,Nao,Sim,0.0,1.0,Nao
185,Nao,Nao,Nao,0.0,1.0,Nao
186,Sim,Sim,Nao,0.0,1.0,Nao
187,Nao,Nao,Nao,0.0,1.0,Nao
188,Nao,Nao,Sim,0.0,1.0,Nao
189,Sim,Sim,Nao,1.0,0.0,Nao
190,Nao,Sim,Nao,0.0,1.0,Nao
191,Sim,Sim,Sim,1.0,1.0,Nao
192,Nao,Sim,Nao,0.0,1.0,Nao
193,Nao,Nao,Nao,1.0,0.0,Nao
194,Nao,Sim,Nao,1.0,0.0,Nao
195,Nao,Sim,Nao,0.0,1.0,Nao
196,Nao,Sim,Nao,0.0,1.0,Nao
197,Sim,Sim,Nao,0.0,1.0,Nao
198,Nao,Sim,Nao,1.0,0.0,Nao
199,Nao,Nao,Nao,0.0,1.0,Nao
200,Nao,Sim,Sim,0.0,1.0,Nao
202,Nao,Sim,Sim,0.0,1.0,Nao
203,Nao,Sim,Sim,0.0,1.0,Nao
204,Nao,Sim,Sim,0.0,1.0,Nao
205,Sim,Nao,Nao,0.0,1.0,Nao
206,Nao,Nao,Nao,1.0,0.0,Nao
207,Sim,Sim,Nao,1.0,0.0,Nao
208,Nao,Sim,Sim,0.0,1.0,Nao
209,Nao,Sim,Sim,0.0,1.0,Nao
210,Nao,Nao,Nao,1.0,0.0,Nao
211,Sim,Sim,Sim,0.0,1.0,Nao
212,Nao,Sim,Sim,1.0,0.0,Nao
217,Nao,Sim,Sim,0.0,1.0,Nao
218,Nao,Sim,Sim,0.0,1.0,Nao
219,Nao,Nao,Nao,0.0,1.0,Nao
221,Nao,Sim,Sim,1.0,0.0,Nao
222,Nao,Sim,Sim,1.0,0.0,Nao
226,Nao,Sim,Nao,1.0,0.0,Nao
229,Sim,Sim,Sim,4.0,0.0,Sim
230,Sim,Sim,Nao,0.0,1.0,Nao
232,Sim,Nao,Sim,2.0,0.0,Nao
234,Nao,Sim,Nao,1.0,0.0,Nao
237,Sim,Nao,Nao,1.0,0.0,Nao
240,Sim,Sim,Sim,0.0,1.0,Nao
242,Nao,Sim,Sim,1.0,0.0,Nao
243,Sim,Sim,Sim,1.0,1.0,Nao
244,Sim,Nao,Sim,0.0,1.0,Nao
245,Sim,Sim,Sim,1.0,1.0,Nao
247,Sim,Nao,Nao,1.0,0.0,Sim
249,Sim,Sim,Sim,1.0,1.0,Nao
250,Sim,Sim,Sim,2.0,0.0,Nao
253,Nao,Sim,Sim,1.0,0.0,Nao
255,Sim,Nao,Sim,1.0,0.0,Nao
257,Sim,Nao,Sim,0.0,1.0,Nao
260,Nao,Nao,Nao,0.0,1.0,Nao
264,Sim,Sim,Nao,1.0,0.0,Nao
266,Nao,Sim,Nao,1.0,0.0,Nao
268,Nao,Sim,Sim,0.0,1.0,Nao
269,Nao,Sim,Sim,1.0,0.0,Sim
270,Nao,Nao,Nao,0.0,1.0,Nao
271,Nao,Nao,Nao,0.0,1.0,Nao
272,Sim,Nao,Nao,0.0,1.0,Nao
274,Sim,Nao,Sim,1.0,0.0,Nao
277,Sim,Sim,Nao,1.0,0.0,Nao
278,Sim,Sim,Sim,2.0,0.0,Sim
280,Sim,Sim,Sim,1.0,0.0,Sim
281,Nao,Sim,Nao,1.0,0.0,Nao
282,Nao,Sim,Nao,1.0,0.0,Nao
283,Nao,Sim,Sim,1.0,0.0,Nao
284,Sim,Sim,Sim,2.0,0.0,Nao
285,Sim,Nao,Nao,1.0,1.0,Nao
286,Sim,Sim,Nao,1.0,0.0,Nao
287,Nao,Sim,Nao,1.0,0.0,Nao
289,Nao,Sim,Nao,0.0,1.0,Nao
290,Nao,Sim,Nao,0.0,1.0,Nao
293,Sim,Sim,Sim,0.0,1.0,Nao
294,Sim,Sim,Sim,0.0,1.0,Nao
295,Nao,Nao,Nao,0.0,1.0,Nao
297,Sim,Sim,Sim,1.0,0.0,Sim
298,Sim,Sim,Sim,1.0,1.0,Nao
299,Nao,Sim,Nao,0.0,1.0,Nao
300,Sim,Sim,Nao,0.0,1.0,Nao
301,Nao,Sim,Nao,0.0,1.0,Nao
302,Nao,Sim,Nao,0.0,2.0,Nao
303,Sim,Nao,Nao,1.0,0.0,Nao
304,Sim,Sim,Nao,0.0,1.0,Nao
305,Nao,Sim,Sim,1.0,0.0,Nao
307,Nao,Sim,Sim,0.0,3.0,Nao
308,Sim,Sim,Nao,1.0,0.0,Nao
309,Sim,Sim,Sim,1.0,0.0,Nao
310,Nao,Nao,Nao,1.0,0.0,Nao
311,Nao,Sim,Nao,0.0,1.0,Nao
312,Nao,Nao,Nao,1.0,0.0,Nao
314,Nao,Sim,Nao,0.0,1.0,Nao
315,Nao,Nao,Sim,0.0,1.0,Nao
317,Nao,Sim,Sim,1.0,0.0,Nao
318,Sim,Nao,Nao,0.0,1.0,Nao
319,Sim,Sim,Sim,1.0,1.0,Nao
321,Sim,Nao,Nao,1.0,1.0,Sim
322,Nao,Nao,Nao,0.0,1.0,Sim
323,Sim,Sim,Nao,1.0,0.0,Nao
324,Nao,Nao,Nao,1.0,0.0,Nao
325,Sim,Sim,Nao,2.0,0.0,Nao
326,Nao,Nao,Nao,1.0,0.0,Nao
327,Nao,Sim,Nao,0.0,1.0,Nao
329,Sim,Sim,Sim,1.0,0.0,Nao
330,Sim,Nao,Nao,1.0,0.0,Sim
333,Sim,Nao,Nao,1.0,1.0,Sim
335,Nao,Sim,Nao,0.0,1.0,Nao
336,Nao,Nao,Nao,0.0,1.0,Nao
337,Nao,Nao,Nao,0.0,1.0,Nao
338,Nao,Sim,Nao,0.0,1.0,Nao
339,Sim,Nao,Nao,0.0,1.0,Nao
341,Sim,Nao,Nao,1.0,0.0,Nao
342,Sim,Sim,Nao,1.0,0.0,Sim
343,Sim,Sim,Nao,1.0,0.0,Sim
345,Sim,Sim,Sim,0.0,1.0,Nao
346,Nao,Nao,Nao,1.0,0.0,Nao
347,Sim,Sim,Nao,0.0,1.0,Nao
348,Nao,Sim,Nao,0.0,1.0,Nao
349,Sim,Sim,Nao,1.0,1.0,Nao
350,Sim,Nao,Nao,1.0,0.0,Nao
351,Nao,Sim,Nao,0.0,1.0,Nao
352,Nao,Sim,Nao,0.0,1.0,Nao
353,Nao,Sim,Nao,1.0,0.0,Sim
354,Nao,Nao,Nao,1.0,0.0,Nao
355,Sim,Nao,Nao,2.0,0.0,Sim
356,Sim,Sim,Nao,0.0,1.0,Nao
357,Sim,Nao,Nao,1.0,1.0,Sim
358,Nao,Sim,Sim,1.0,0.0,Nao
361,Nao,Nao,Nao,0.0,1.0,Nao
364,Nao,Sim,Nao,0.0,1.0,Nao
369,Nao,Sim,Nao,0.0,1.0,Nao
376,Nao,Sim,Sim,1.0,0.0,Sim
378,Nao,Sim,Sim,0.0,1.0,Nao
379,Nao,Nao,Nao,1.0,0.0,Nao
381,Nao,Sim,Nao,0.0,1.0,Nao
382,Nao,Sim,Sim,0.0,1.0,Nao
384,Nao,Sim,Sim,0.0,1.0,Nao
385,Nao,Nao,Nao,0.0,1.0,Nao
386,Nao,Sim,Nao,1.0,0.0,Nao
387,Nao,Nao,Nao,0.0,1.0,Nao
389,Nao,Nao,Nao,0.0,1.0,Nao
392,Sim,Nao,Sim,5.0,0.0,Nao
396,Sim,Nao,Nao,1.0,3.0,Nao
400,Nao,Nao,Nao,0.0,1.0,Nao
401,Sim,Sim,Sim,1.0,1.0,Nao
402,Nao,Nao,Nao,1.0,0.0,Nao
403,Sim,Nao,Sim,1.0,0.0,Nao
405,Nao,Sim,Nao,1.0,0.0,Nao
406,Sim,Nao,Sim,1.0,1.0,Sim
407,Nao,Sim,Nao,0.0,1.0,Nao
408,Nao,Sim,Sim,0.0,1.0,Nao
409,Sim,Nao,Nao,2.0,0.0,Nao
410,Nao,Nao,Nao,1.0,0.0,Nao
411,Sim,Sim,Sim,1.0,0.0,Nao
412,Sim,Nao,Nao,1.0,0.0,Nao
413,Nao,Sim,Sim,0.0,1.0,Nao
414,Nao,Sim,Nao,0.0,1.0,Nao
415,Nao,Sim,Nao,1.0,0.0,Nao
419,Sim,Sim,Nao,0.0,1.0,Nao
420,Nao,Sim,Nao,1.0,0.0,Nao
421,Sim,Sim,Sim,3.0,0.0,Sim
422,Sim,Nao,Nao,1.0,0.0,Nao
423,Nao,Sim,Nao,0.0,1.0,Nao
424,Nao,Sim,Sim,0.0,1.0,Nao
426,Nao,Sim,Sim,0.0,1.0,Nao
427,Sim,Sim,Sim,1.0,0.0,Sim
429,Nao,Sim,Sim,0.0,2.0,Nao
430,Nao,Sim,Nao,1.0,0.0,Nao
431,Nao,Nao,Sim,0.0,1.0,Nao
432,Nao,Sim,Nao,1.0,0.0,Nao
433,Nao,Sim,Nao,0.0,1.0,Nao
434,Nao,Sim,Nao,1.0,1.0,Nao
435,Nao,Sim,Sim,1.0,0.0,Nao
436,Nao,Sim,Nao,0.0,1.0,Nao
437,Nao,Sim,Nao,0.0,1.0,Nao
439,Nao,Sim,Nao,0.0,1.0,Nao
440,Sim,Nao,Sim,0.0,1.0,Nao
441,Nao,Sim,Sim,0.0,1.0,Nao
442,Sim,Sim,Nao,0.0,1.0,Nao
443,Nao,Sim,Sim,1.0,0.0,Nao
444,Sim,Nao,Nao,0.0,1.0,Nao
445,Sim,Sim,Sim,2.0,0.0,Nao
446,Sim,Nao,Sim,1.0,0.0,Nao
447,Nao,Nao,Nao,1.0,0.0,Nao
449,Nao,Nao,Nao,0.0,1.0,Sim
450,Nao,Sim,Sim,0.0,1.0,Nao
452,Nao,Nao,Sim,0.0,1.0,Nao
453,Sim,Sim,Nao,0.0,1.0,Nao
454,Nao,Sim,Nao,1.0,0.0,Nao
455,Sim,Nao,Nao,0.0,1.0,Nao
456,Sim,Sim,Sim,1.0,0.0,Nao
457,Sim,Sim,Sim,1.0,0.0,Nao
458,Sim,Nao,Nao,1.0,0.0,Nao
459,Nao,Sim,Nao,0.0,1.0,Nao
460,Nao,Sim,Nao,0.0,1.0,Nao
461,Sim,Nao,Nao,1.0,0.0,Nao
462,Nao,Nao,Sim,0.0,1.0,Nao
463,Nao,Sim,Nao,1.0,1.0,Nao
464,Nao,Nao,Nao,0.0,1.0,Nao
465,Nao,Sim,Nao,0.0,1.0,Nao
466,Sim,Sim,Nao,0.0,1.0,Nao
468,Nao,Sim,Sim,0.0,1.0,Nao
470,Nao,Sim,Sim,0.0,2.0,Nao
471,Nao,Sim,Nao,0.0,1.0,Nao
472,Nao,Nao,Nao,1.0,0.0,Nao
473,Nao,Nao,Nao,0.0,1.0,Nao
474,Nao,Sim,Nao,0.0,1.0,Nao
475,Nao,Sim,Sim,1.0,0.0,Sim
476,Nao,Nao,Nao,1.0,0.0,Nao
477,Nao,Sim,Nao,0.0,1.0,Nao
478,Sim,Sim,Sim,1.0,0.0,Nao
480,Sim,Sim,Sim,1.0,0.0,Nao
481,Nao,Sim,Nao,1.0,1.0,Sim
482,Nao,Nao,Sim,1.0,0.0,Nao
483,Nao,Nao,Nao,1.0,0.0,Sim
484,Sim,Sim,Sim,1.0,0.0,Nao
486,Sim,Sim,Sim,0.0,1.0,Nao
487,Nao,Nao,Sim,0.0,1.0,Nao
488,Sim,Nao,Nao,0.0,1.0,Nao
489,Sim,Nao,Nao,0.0,2.0,Nao
490,Nao,Sim,Sim,1.0,0.0,Nao
491,Sim,Nao,Nao,2.0,1.0,Sim
493,Sim,Sim,Nao,0.0,1.0,Nao
495,Nao,Sim,Sim,0.0,1.0,Nao
496,Nao,Nao,Sim,0.0,1.0,Nao
501,Nao,Sim,Nao,0.0,1.0,Nao
502,Nao,Sim,Sim,1.0,0.0,Nao
505,Sim,Sim,Nao,1.0,0.0,Nao
506,Nao,Sim,Sim,0.0,1.0,Nao
507,Nao,Sim,Nao,0.0,1.0,Nao
508,Nao,Sim,Nao,0.0,1.0,Nao
510,Nao,Sim,Sim,0.0,1.0,Nao
511,Nao,Sim,Sim,1.0,1.0,Nao
512,Nao,Sim,Sim,1.0,0.0,Nao
513,Nao,Nao,Nao,0.0,1.0,Nao
514,Nao,Sim,Sim,1.0,0.0,Nao
515,Nao,Sim,Nao,0.0,1.0,Nao
516,Nao,Sim,Sim,0.0,1.0,Nao
517,Nao,Nao,Nao,1.0,0.0,Nao
518,Nao,Sim,Sim,2.0,0.0,Nao
519,Nao,Sim,Sim,0.0,1.0,Nao
520,Nao,Sim,Nao,0.0,1.0,Nao
521,Nao,Sim,Nao,1.0,0.0,Nao
524,Nao,Sim,Sim,0.0,1.0,Nao
525,Sim,Nao,Sim,1.0,0.0,Sim
526,Nao,Nao,Nao,0.0,1.0,Nao
527,Nao,Sim,Sim,1.0,0.0,Nao
528,Nao,Sim,Sim,1.0,0.0,Nao
529,Nao,Sim,Nao,1.0,0.0,Nao
530,Nao,Sim,Nao,1.0,1.0,Nao
531,Nao,Nao,Nao,0.0,1.0,Nao
532,Nao,Sim,Nao,0.0,1.0,Nao
533,Nao,Sim,Sim,1.0,0.0,Nao
534,Nao,Sim,Sim,1.0,0.0,Nao
535,Sim,Sim,Nao,1.0,0.0,Nao
536,Sim,Sim,Sim,1.0,1.0,Nao
537,Nao,Sim,Sim,1.0,1.0,Nao
538,Sim,Nao,Sim,1.0,0.0,Nao
540,Sim,Sim,Sim,1.0,0.0,Nao
542,Nao,Sim,Sim,1.0,0.0,Nao
545,Nao,Sim,Sim,1.0,0.0,Nao
548,Nao,Sim,Sim,2.0,1.0,Nao
549,Nao,Sim,Sim,1.0,0.0,Nao
550,Sim,Nao,Nao,0.0,1.0,Nao
552,Sim,Sim,Sim,1.0,0.0,Nao
553,Nao,Sim,Sim,1.0,0.0,Nao
554,Nao,Sim,Nao,1.0,0.0,Nao
555,Nao,Sim,Nao,0.0,1.0,Nao
556,Nao,Sim,Sim,0.0,1.0,Nao
558,Nao,Sim,Nao,1.0,1.0,Nao
559,Nao,Nao,Nao,1.0,0.0,Nao
560,Nao,Sim,Nao,0.0,1.0,Nao
561,Sim,Sim,Sim,2.0,0.0,Nao
562,Nao,Nao,Sim,1.0,0.0,Nao
564,Nao,Sim,Sim,1.0,1.0,Nao
567,Sim,Nao,Sim,1.0,1.0,Nao
568,Nao,Sim,Nao,0.0,1.0,Nao
569,Nao,Sim,Nao,0.0,1.0,Nao
570,Nao,Nao,Sim,1.0,0.0,Nao
571,Nao,Sim,Sim,0.0,1.0,Nao
572,Nao,Sim,Sim,0.0,1.0,Nao
573,Nao,Nao,Sim,1.0,0.0,Nao
574,Nao,Sim,Nao,0.0,1.0,Nao
575,Nao,Sim,Sim,0.0,1.0,Nao
577,Nao,Sim,Sim,1.0,1.0,Nao
581,Nao,Nao,Sim,2.0,0.0,Nao
583,Nao,Sim,Sim,0.0,1.0,Nao
584,Nao,Sim,Nao,0.0,1.0,Nao
585,Nao,Sim,Sim,1.0,0.0,Nao
586,Nao,Sim,Sim,1.0,0.0,Nao
587,Nao,Sim,Sim,0.0,1.0,Nao
588,Nao,Sim,Sim,0.0,1.0,Nao
589,Sim,Nao,Nao,0.0,1.0,Nao
590,Nao,Nao,Nao,1.0,1.0,Nao
591,Nao,Nao,Nao,0.0,1.0,Nao
592,Sim,Nao,Sim,1.0,1.0,Nao
594,Sim,Nao,Nao,1.0,0.0,Nao
596,Sim,Sim,Sim,1.0,0.0,Nao
598,Sim,Sim,Nao,1.0,0.0,Nao
600,Sim,Sim,Sim,1.0,0.0,Sim
601,Sim,Sim,Sim,1.0,0.0,Sim
603,Sim,Nao,Nao,0.0,1.0,Nao
605,Nao,Nao,Sim,0.0,1.0,Nao
606,Nao,Sim,Sim,0.0,1.0,Nao
607,Nao,Sim,Nao,0.0,1.0,Nao
608,Sim,Nao,Nao,1.0,0.0,Nao
609,Nao,Sim,Sim,0.0,1.0,Nao
610,Nao,Nao,Nao,0.0,1.0,Nao
611,Sim,Nao,Sim,0.0,1.0,Nao
612,Sim,Sim,Sim,1.0,0.0,Nao
613,Sim,Nao,Sim,1.0,1.0,Nao
614,Sim,Sim,Nao,0.0,2.0,Nao
615,Nao,Sim,Nao,0.0,1.0,Nao
616,Nao,Sim,Nao,0.0,1.0,Nao
617,Sim,Sim,Sim,1.0,0.0,Nao
618,Sim,Nao,Nao,0.0,1.0,Nao
619,Sim,Nao,Sim,2.0,0.0,Nao
620,Sim,Sim,Sim,0.0,1.0,Nao
621,Sim,Sim,Nao,0.0,1.0,Nao
623,Nao,Sim,Sim,0.0,1.0,Nao
624,Nao,Nao,Nao,1.0,0.0,Nao
625,Sim,Sim,Sim,1.0,0.0,Nao
626,Sim,Nao,Sim,1.0,0.0,Sim
627,Nao,Sim,Sim,1.0,0.0,Nao
628,Sim,Sim,Sim,0.0,1.0,Nao
629,Sim,Nao,Sim,1.0,0.0,Nao
630,Nao,Sim,Sim,0.0,1.0,Nao
631,Sim,Nao,Nao,0.0,1.0,Nao
632,Sim,Nao,Nao,1.0,0.0,Nao
634,Nao,Nao,Sim,1.0,0.0,Nao
635,Sim,Nao,Sim,1.0,1.0,Nao
636,Sim,Nao,Nao,1.0,0.0,Nao
637,Sim,Sim,Sim,0.0,1.0,Nao
638,Sim,Nao,Sim,1.0,0.0,Nao
639,Sim,Sim,Sim,1.0,0.0,Nao
640,Sim,Nao,Sim,0.0,3.0,Nao
642,Sim,Nao,Sim,1.0,0.0,Nao
643,Sim,Sim,Sim,0.0,1.0,Nao
646,Sim,Sim,Sim,1.0,1.0,Nao
647,Sim,Nao,Nao,0.0,1.0,Nao
648,Sim,Sim,Sim,1.0,1.0,Nao
649,Nao,Sim,Sim,0.0,1.0,Nao
650,Nao,Sim,Sim,0.0,1.0,Nao
651,Nao,Sim,Sim,0.0,1.0,Nao
654,Nao,Sim,Nao,1.0,0.0,Nao
655,Nao,Sim,Nao,0.0,1.0,Nao
660,Nao,Sim,Sim,0.0,1.0,Nao
661,Nao,Sim,Sim,0.0,1.0,Nao
662,Nao,Sim,Sim,0.0,1.0,Nao
664,Nao,Sim,Nao,0.0,1.0,Nao
665,Nao,Sim,Sim,1.0,0.0,Nao
670,Nao,Nao,Nao,0.0,2.0,Nao
672,Sim,Sim,Nao,0.0,1.0,Nao
673,Nao,Sim,Sim,0.0,1.0,Nao
674,Sim,Nao,Sim,1.0,0.0,Nao
675,Sim,Sim,Nao,0.0,1.0,Nao
676,Sim,Nao,Nao,1.0,0.0,Nao
677,Nao,Sim,Sim,1.0,0.0,Nao
678,Sim,Sim,Sim,2.0,0.0,Sim
679,Nao,Sim,Nao,1.0,0.0,Nao
681,Sim,Nao,Sim,1.0,0.0,Nao
683,Sim,Sim,Sim,1.0,0.0,Nao
684,Nao,Sim,Sim,0.0,1.0,Nao
685,Sim,Nao,Nao,0.0,1.0,Nao
686,Sim,Sim,Nao,1.0,0.0,Nao
688,Nao,Nao,Nao,1.0,0.0,Nao
689,Sim,Sim,Sim,0.0,2.0,Nao
690,Sim,Sim,Nao,1.0,0.0,Nao
691,Sim,Sim,Nao,1.0,0.0,Nao
693,Sim,Nao,Nao,0.0,1.0,Nao
694,Sim,Nao,Sim,1.0,0.0,Nao
696,Sim,Nao,Sim,0.0,1.0,Nao
700,Nao,Sim,Nao,0.0,1.0,Nao
701,Sim,Nao,Sim,2.0,0.0,Nao
703,Sim,Nao,Sim,1.0,0.0,Sim
704,Nao,Nao,Sim,0.0,1.0,Nao
705,Sim,Nao,Sim,2.0,0.0,Nao
706,Nao,Nao,Nao,1.0,0.0,Nao
708,Nao,Nao,Nao,1.0,0.0,Nao
709,Sim,Nao,Sim,1.0,1.0,Sim
710,Sim,Nao,Sim,1.0,0.0,Sim
711,Sim,Nao,Nao,1.0,0.0,Nao
715,Sim,Nao,Nao,0.0,1.0,Nao
716,Nao,Sim,Sim,1.0,0.0,Nao
717,Sim,Nao,Nao,0.0,1.0,Sim
718,Sim,Nao,Sim,2.0,0.0,Nao
719,Nao,Nao,Nao,0.0,1.0,Nao
720,Sim,Sim,Nao,1.0,0.0,Nao
721,Sim,Sim,Sim,0.0,2.0,Nao
722,Sim,Nao,Sim,1.0,0.0,Sim
